"","year","data","what","model_id","fmodel","qmodel","rmodel","stock"
"163",2013,38938.3999292385,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"164",2014,49206.0854254388,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"165",2015,47014.6089369265,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"166",2016,57569.2187796075,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"167",2017,59884.6747939872,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"168",2018,56605.7810135058,"ssb",2,"fmodel2","qmodel1","rmodel1","stk"
"169",1963,0.24674725,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"170",1964,0.35842,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"171",1965,0.4920585,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"172",1966,0.55703225,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"173",1967,0.49514525,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"174",1968,0.4130535,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"175",1969,0.392351,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"176",1970,0.47077375,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"177",1971,0.5507045,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"178",1972,0.40642675,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"179",1973,0.21421275,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"180",1974,0.1584762,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"181",1975,0.151233675,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"182",1976,0.1607574,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"183",1977,0.22821875,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"184",1978,0.3664415,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"185",1979,0.4886615,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"186",1980,0.54368425,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"187",1981,0.53457025,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"188",1982,0.48931575,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"189",1983,0.445192,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"190",1984,0.426524,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"191",1985,0.42242625,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"192",1986,0.40363925,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"193",1987,0.35730875,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"194",1988,0.32487475,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"195",1989,0.33582675,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"196",1990,0.4076295,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"197",1991,0.520995,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"198",1992,0.5950265,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"199",1993,0.527025,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"200",1994,0.39080075,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"201",1995,0.27763575,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"202",1996,0.21301625,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"203",1997,0.18488,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"204",1998,0.18073525,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"205",1999,0.19592675,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"206",2000,0.230884,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"207",2001,0.27872025,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"208",2002,0.324452,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"209",2003,0.3619865,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"210",2004,0.387685,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"211",2005,0.400227,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"212",2006,0.39525125,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"213",2007,0.36741625,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"214",2008,0.340077,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
